sequence	experiment	policy	score	delta	status	strategy	description
1	001-a59c13603ea5	spatial-residual-locomotion-d43da559377a3b54	62.97783473717998	0.029648689903943648	revert	training-total-steps-decrease	Decrease totalSteps by one bounded step.
2	002-99a8aba77f94	spatial-residual-locomotion-a6b3f7c266725973	62.85915127468105	-0.08903477259499226	revert	training-total-steps-increase	Increase totalSteps by one bounded step.
3	003-14df67388afd	spatial-residual-locomotion-2902a8145c68a5bd	62.52317083359313	-0.4250152136829115	revert	training-residual-scale-decrease	Decrease residualScale by one bounded step.
4	004-21d8b193eba1	spatial-residual-locomotion-278afe720d579c63	62.97783473717998	0.029648689903943648	revert	training-total-steps-decrease	Decrease totalSteps by one bounded step.
5	005-f5f5216b731b	spatial-residual-locomotion-c4994fa7b1f0aa3c	62.85915127468105	-0.08903477259499226	revert	training-total-steps-increase	Increase totalSteps by one bounded step.
6	006-bd027be0bb24	spatial-residual-locomotion-6a0b93c82228690d	63.13754438402839	0.18935833675234903	revert	training-learning-rate-decrease	Decrease learningRate by one bounded step.
7	007-ad9fb230e0b0	spatial-residual-locomotion-81df145800cc15c7	63.03496530081226	0.08677925353622129	keep	residual-scale-half	Half-scale corrections may retain learned gains inside the delay-stable control envelope.
8	008-6a28764d4136	spatial-residual-locomotion-e85b0fff98f9987f	63.38043059063632	0.34546528982406244	revert	residual-scale-quarter	Quarter-scale corrections may preserve delay robustness with lower energy and drift.
