sequence	experiment	policy	score	delta	violations	status	strategy	description
1	001-66a8bdd3d2c3	-	60.640709341079145	0	-	crash	quality-guarded-micro-residual	ENOENT: no such file or directory, open '/var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-5eoJX0/project/calibration-runs/calibration-727dc76775d22881/manifest.json'
2	002-4d3bef3898e8	-	60.640709341079145	0	-	crash	recovery-case-distillation	ENOENT: no such file or directory, open '/var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-XQFpiF/project/calibration-runs/calibration-727dc76775d22881/manifest.json'
3	003-c81d66cca4be	-	60.640709341079145	0	-	crash	program-prior-recovery	ENOENT: no such file or directory, open '/var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-dumEKc/project/calibration-runs/calibration-727dc76775d22881/manifest.json'
