sequence	experiment	policy	score	delta	violations	status	strategy	description
1	001-80ee83bf9448	-	60.640709341079145	0	-	crash	quality-guarded-micro-residual	/var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-yYUWbA/project/training/capture-calibrated-spatial-residual-locomotion.training.json/qualityReward/jointAcceleration: Required /var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-yYUWbA/project/training/capture-calibrated-spatial-residual-locomotion.training.json/qualityReward/actionSlew: Required /var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-yYUWbA/project/training/capture-calibrated-spatial-residual-locomotion.training.json/qualityReward/footSlip: Required
2	002-e286c2e5ae7d	-	60.640709341079145	0	-	crash	recovery-case-distillation	/var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-hUmto7/project/training/capture-calibrated-spatial-residual-locomotion.training.json/qualityReward/jointAcceleration: Required /var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-hUmto7/project/training/capture-calibrated-spatial-residual-locomotion.training.json/qualityReward/actionSlew: Required /var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-hUmto7/project/training/capture-calibrated-spatial-residual-locomotion.training.json/qualityReward/footSlip: Required
3	003-1c935e68513e	-	60.640709341079145	0	-	crash	program-prior-recovery	/var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-vQTqqA/project/training/capture-calibrated-spatial-residual-locomotion.training.json/qualityReward/jointAcceleration: Required /var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-vQTqqA/project/training/capture-calibrated-spatial-residual-locomotion.training.json/qualityReward/actionSlew: Required /var/folders/nf/j8ctzyf956gg4h79xdmj3rwr0000gn/T/mujica-capture-calibrated-robust-policy-vQTqqA/project/training/capture-calibrated-spatial-residual-locomotion.training.json/qualityReward/footSlip: Required
